,term,entity_id,text_1,text_2,text_3,text_4,text_5
22,afkomst,odwn-10-104552692-v,beroemen,zich laten voorstaan op,"['je erop beroemen dat je stevig hebt bijgedragen tot de emancipatie van de vrouw', 'je erop beroemen dat je van adellijke afkomst bent', 'zich beroemen op zijn talent voor organisatie']",['beroemen'],['zich laten voorstaan op']
23,afkomst,eng-30-01774799-v,minachten,verachten,['iemand minachten vanwege zijn of haar afkomst'],"['verachten', 'depreciëren', 'geringschatten', 'minachten', 'neerkijken', 'neerzien']","['verachten', 'iemand minderwaardig vinden', 'minderwaardig vinden']"
24,afkomst,eng-30-10577284-n,verkoper,iemand die (beroepsmatig) verkoopt,"['op genoemd tijdstip bevonden zich volgens de verkoper twee mannen in de winkel, die naar eigen zeggen van Franse afkomst waren', 'de koop is pas geldig als de koper en de verkoper beiden getekend hebben']","['handelaar', 'marketeer', 'verkoopster', 'verkoper']",['iemand die (beroepsmatig) verkoopt']
25,afkomst,eng-30-10157549-n,halfbloed,persoon van gemengde afkomst,[],"['halfbloed', 'kleurling']","['persoon van gemengde afkomst', 'kind van verschillende rassen']"
27,afkomst,odwn-10-107675980-v,generen,schamen,"['hij geneerde zich voor zijn afkomst/broer', 'zich generen voor iets/iemand', 'geneer je niet!']",['generen'],['schamen']
28,allochtonen,odwn-10-101546688-n,allochtoon,immigrant,['de integratie van allochtonen in de Nederlandse samenleving'],['allochtoon'],['immigrant']
29,allochtonen,eng-30-01237415-n,integratie,het samengaan en één worden,"['de integratie van allochtonen in onze cultuur verloopt niet zonder slag of stoot', 'integratie in (onze cultuur)', 'de integratie bevorderen', 'de Europese integratie']","['inburgering', 'integratie']",['het samengaan en één worden']
30,allochtonen,eng-30-13427078-n,assimilatie,aanpassing,"['gedwongen assimilatie', 'de assimilatie van allochtonen aan de Nederlandse cultuur verloopt soms moeizaam', 'assimilatie aan [de Nederlandse cultuur]']","['aanpassing', 'accommodatie', 'adaptatie', 'assimilatie', 'modificatie']","['aanpassing', 'proces of resultaat van aanpassing', 'aanpassing', 'iets dat wijzigt of gewijzigd is']"
31,allochtonen,eng-30-13980288-n,animositeit,vijandigheid,"['in de klas heerste een sfeer van onderlinge animositeit', 'een sfeer van onderlinge animositeit', '(de) animositeit jegens [allochtonen]', 'de animositeit tussen [de echtelieden]']","['animositeit', 'hostiliteit', 'vijandigheid', 'vijandschap']","['vijandigheid', 'vijandige houding', 'het vijand zijn met iemand']"
32,allochtonen,eng-30-07959269-n,concentratie,opeenhoping,['de grootste concentratie allochtonen is te vinden in probleemwijkende grootste concentratie allochtonen is te vinden in probleemwijken'],"['concentratie', 'congestie', 'conglomeraat', 'opeenhoping', 'ophoping']","['opeenhoping', '(verkeers)opstopping', 'tot een hoop gevormde verzameling']"
33,allochtoon,odwn-10-101546688-n,allochtoon,immigrant,['de integratie van allochtonen in de Nederlandse samenleving'],['allochtoon'],['immigrant']
34,allochtoon,eng-30-09484465-n,allochtoon,,[],"['vreemdeling', 'vluchteling', 'allochtoon']",[]
35,baboe,odwn-10-106744972-n,baboe,oppas in Nederlands-Indië,[],['baboe'],['oppas in Nederlands-Indië']
36,baboe,eng-30-09827246-n,baboe,,[],['baboe'],[]
37,barbaar,eng-30-09879297-n,barbaar,,[],"['schelm', 'hooligan', 'schurk', 'barbaar', 'beest', 'beestmens', 'beul', 'bloedhond', 'bruut', 'bullebak', 'kwelduivel', 'kwelgeest', 'monster', 'nero', 'onmens', 'pestkop', 'plaag', 'plaagal', 'plaaggeest', 'plaagstok', 'sar', 'treiteraar', 'wreedaard']","['onvriendelijke man', 'plaaggeest', 'plaaggeest', 'pestkop', 'iemand die anderen pest', 'iemand die zuigt']"
38,barbaar,eng-30-10410815-n,barbaar,,[],"['primitieveling', 'barbaar', 'boer', 'boerenhufter', 'boerenkaffer', 'boerenkarhengst', 'boerenkinkel', 'boerenlul', 'boerenpummel', 'botterik', 'grobbejanus', 'heikneuter', 'hork', 'hufter', 'kaffer', 'kinkel', 'lomperd', 'lomperik', 'palurk', 'plebejer', 'plomperd', 'proleet', 'pummel', 'raudauwer', 'rouwdouw', 'rouwdouwer', 'vlegel', 'woudezel']","['iemand zonder manieren', 'pummel', 'stommeling', 'lomperd', 'lomperik', 'pummel', 'onbeschoft persoon', 'lomperik', 'botterik', 'zeer onbeleefd iemand', 'onhandig iemand', 'prehistorische mens', 'onbeschoft iemand', 'onbeschaafd iemand', 'onbeschaafd iemand', 'onbeschoft iemand']"
39,barbaar,eng-30-10553402-n,barbaar,woesteling,"['de barbaren op de voetbaltribunes', 'een barbaar die zijn hond schopt']","['barbaar', 'kannibaal', 'natuurmens', 'wilde']","['woesteling', 'bloeddorstig persoon', 'natuurliefhebber', 'primitief iemand']"
41,barbaar,eng-30-10390902-n,barbaar,,[],['barbaar'],[]
42,barbaren,eng-30-10553402-n,barbaar,woesteling,"['de barbaren op de voetbaltribunes', 'een barbaar die zijn hond schopt']","['barbaar', 'kannibaal', 'natuurmens', 'wilde']","['woesteling', 'bloeddorstig persoon', 'natuurliefhebber', 'primitief iemand']"
43,barbaren,eng-30-00386390-v,kerstenen,bekeren,['barbaren kerstenen'],['kerstenen'],['bekeren']
44,batavia,eng-30-00306426-n,tocht,reis,"['een tocht van [Hoorn] naar [Batavia]', 'een tocht naar [de Oostzee]', 'een tocht om/rond de wereld', 'een tocht van [200 kilometer]', 'een tocht van [vijf dagen]', 'een barre tocht', 'een tocht(je) maken']","['trektocht', 'trip', 'tour', 'reis', 'gang', 'tocht']","['tocht ergens heen', 'reis']"
45,bediend,eng-30-05892651-n,eis,voorwaarde om in aanmerking te komen voor iets,"['topsport stelt hoge eisen aan het menselijk lichaam', 'eisen stellen aan', 'volgens de eisen van betamelijkheid dienen de dames aan tafel eerst te worden bediend', 'volgens de eisen van betamelijkheid', 'een goede fiets moet aan een aantal eisen voldoen', 'aan eisen voldoen']",['eis'],['voorwaarde om in aanmerking te komen voor iets']
46,bediend,odwn-10-109911010-n,gerant,winkelbediende,['een gerant aanspreken om bediend te worden'],['gerant'],['winkelbediende']
47,bediend,odwn-10-106745436-v,knippen,met de vingers,"['hij hoefde maar (met zijn vingers) te knippen of hij werd op zijn wenken bediend', 'met de vingers knippen']",['knippen'],['met de vingers']
48,bediend,odwn-10-100555933-n,voetrem,rem bediend met de voet,[],['voetrem'],['rem bediend met de voet']
50,bediend,odwn-10-105108812-v,bedienen,"van dienst zijn in een restaurant, café enz.",['Ik ben nog nooit zo slecht bediend als in cafe Bart.'],['bedienen'],"['van dienst zijn in een restaurant, café enz.']"
51,bediend,odwn-10-105507584-n,pedaalemmer,emmer met d.m.v. pedaal bediend deksel,['gooi het maar in de pedaalemmer'],['pedaalemmer'],['emmer met d.m.v. pedaal bediend deksel']
53,bediende,eng-30-10053808-n,bediende,"winkel-, kantoorbediende",['de jongste bediende'],"['personeelslid', 'arbeider', 'arbeidskracht', 'bediende', 'kracht', 'loontrekker', 'tewerkgestelde', 'werknemer']","['werknemer', 'werknemer', 'winkel-, kantoorbediende', 'werknemer', 'iemand die werkt tegen betaling', 'vermogen te werken', 'iemand die ergens in loondienst is']"
55,bediende,eng-30-02396205-v,aanstellen,in een functie benoemen,"['er werd een nieuwe bediende aangesteld', 'een bediende aanstellen', 'de gewezen wereldreiziger werd als burgemeester aangesteld', 'iemand als [burgemeester] aanstellen']","['aanstellen', 'aanwijzen', 'benoemen', 'designeren', 'maken']","['in een functie benoemen', 'functie of status verlenen', 'een ambt toekennen', 'in een positie brengen']"
57,bediende,eng-30-10582154-n,bediende,huisbediende,['een bediende in livrei'],"['hulpje', 'hulp', 'bediende']",['huisbediende']
59,bediende,odwn-10-105858995-v,tewerkstellen,werk geven,['iemand tewerkstellen als [eerste bediende bij de bank]'],['tewerkstellen'],['werk geven']
60,bediende,odwn-10-103725642-v,afstoten,wegdoen,"['ik heb mijn job als bediende afgestoten', 'een baan afstoten', 'het Ziekenfonds ziet zich genoodzaakt enkele zorgtaken af te stoten', 'taken afstoten', 'bij defensie gaat men de Leopardtank afstoten', 'materieel afstoten', 'bij de fusie worden de met verlies draaiende divisies afgestoten', 'een divisie afstoten']",['afstoten'],['wegdoen']
61,bediende,eng-30-00874537-v,inwerken,vertrouwd maken,"['de nieuwe bediende inwerken', 'iemand inwerken in een functie']","['oriënteren', 'inwerken']",['vertrouwd maken']
62,bediende,odwn-10-101393848-n,livrei,uniform voor huispersoneel,['(een bediende) in livrei'],['livrei'],['uniform voor huispersoneel']
63,bediende,eng-30-09928451-n,kantoorbediende,bediende op kantoor,[],"['klerk', 'commies', 'kantoorbediende', 'kantoorpik']","['kantoorbediende', 'bediende op kantoor']"
65,bediende,odwn-10-106526345-n,huisbediende,bediende in huis,[],['huisbediende'],['bediende in huis']
67,bediende,odwn-10-100928211-n,kamenier,bediende,[],['kamenier'],['bediende']
69,berber,odwn-10-101847342-n,Berber,Noord-Afrikaan,[],['Berber'],['Noord-Afrikaan']
70,berber,odwn-10-102482805-n,berber,handgeknoopt wollen kleed,[],"['berber', 'berbertapijt']",['handgeknoopt wollen kleed']
71,berbers,Berbers-n-1,Berbers,Berberse taal,[],[],[]
72,birma,Birma-n-1,Birma,land in Azië,[],[],[]
73,birma,eng-30-07972425-n,feodalisme,feodaal bestuursstelsel,"['het middeleeuwse feodalisme', 'het feodalisme in Birma moet bestreden worden']","['feodalisme', 'leenstelsel']","['feodaal bestuursstelsel', 'Middeleeuws staatsbestel']"
74,birma,eng-30-08715390-n,Birma,,[],"['Birma', 'Unie Myanmar', 'Myanmar']",[]
75,blank,eng-30-04752221-n,ongelijkheid,eigenschap van niet gelijk zijn,"['sociale/maatschappelijke ongelijkheid', 'ongelijkheid tussen [zwart] en [blank]', 'ongelijkheid in [de verdeling]']",['ongelijkheid'],['eigenschap van niet gelijk zijn']
76,blank,odwn-10-103281025-v,staan,in een bepaalde toestand zijn,"['bekend staan als [zangeres]', 'op springen staan', 'aan het hoofd van iets staan', 'aan het roer van iets staan', 'in bloei staan', 'in brand staan', 'in dubio staan', ""op straat/'de keien' staan"", 'voor gek/paal staan', 'op stapel staan', 'in verbinding staan met iets/iemand', 'in je recht staan', 'hoog aangeschreven staan', 'bol staan van [de fouten]', 'blank staan', 'op de bank staan', 'dat komt je nog duur te staan!', 'er staat je/hem/haar iets te wachten', 'iemand te woord staan', 'op je strepen/ponteneur staan', 'onder curatele staan']",['staan'],['in een bepaalde toestand zijn']
77,blank,niet-blanke-n-1,niet-blanke,iemand die niet blank is,[],[],[]
78,blank,odwn-10-105649761-n,staaldraad,staal tot draad getrokken,['blank/hardgetrokken staaldraad'],['staaldraad'],['staal tot draad getrokken']
79,blank,eng-30-05600637-n,gelaat,voorkant v.h. hoofd,"['een blank/bleek/rozig gelaat', 'een geschonden gelaat', 'een gegroefd gelaat']","['aangezicht', 'aanschijn', 'bakkes', 'facie', 'fieselefacie', 'fieselemie', 'gelaat', 'gezicht', 'ponem', 'porem', 'postzegel', 'smoel', 'smoelwerk', 'snoet', 'snufferd', 'snuit', 'toet', 'toetje', 'tronie']","['voorkant v.h. hoofd', 'gezicht', 'gezicht', 'voorkant v.h. hoofd', 'voorkant v.h. hoofd', 'gezicht', 'gezicht', 'gezicht', 'gezicht', 'neus/mond/gezicht', 'gezicht', 'brutaal gelaat']"
80,blanke,odwn-10-103541331-n,blanke,iemand met lichte huidskleur,"['blanken en zwarten worden in Zuid-Afrika niet langer apart gehouden', 'onder de apartheid hadden blanken meer rechten dan zwarten']",['blanke'],['iemand met lichte huidskleur']
81,blanke,odwn-10-103063347-n,overheersing,toestand van onderdrukking,['[blanke/Chinese] overheersing'],['overheersing'],['toestand van onderdrukking']
82,blanke,eng-30-05238282-n,huid,weefsellaag die het lichaam bedekt,"['huiden van wilde dieren', 'een gerimpelde huid', 'een gave huid', 'een getaande huid', 'een gebronsde/gebruinde huid', 'deze crème is vooral voor de vette of gecombineerde huid', 'een [vette/gecombineerde/droge] huid', 'dit scheerschuim is speciaal voor de gevoelige huid', 'de gevoelige huid', 'een donkere/blanke huid']","['onderhuid', 'skinhead', 'huid', 'vel']","['weefsellaag die het lichaam bedekt', 'huid van mensen of dieren']"
83,blanke,eng-30-09976551-n,slavin,uitgebuite vrouw,['blanke slavinnen'],"['slaaf', 'slavin']","['v.e. ander afhankelijk persoon', 'uitgebuite vrouw']"
84,blanke,odwn-10-100513750-n,mesties,kruising v.e. blanke en een indiaan,[],['mesties'],['kruising v.e. blanke en een indiaan']
86,blanke,volksdeel-n-1,volksdeel,bevolkingsgroep,['het zwarte/Joodse/blanke volksdeel'],[],[]
87,blanke,eng-30-00965035-v,beschrijven,in taal voorstellen,"['dat is met geen pen te beschrijven', 'hoe zou je jezelf beschrijven?', 'zichzelf beschrijven', 'beschrijven wat er in een doos zit', 'je huis beschrijven', 'iemand beschrijven als [een blanke man van middelbare leeftijd]']","['omschrijven', 'beschrijven', 'gewagen', 'melden', 'rapporteren', 'vermelden']","['in taal voorstellen', 'vermelden', 'laten weten', 'melden', 'meedelen']"
88,blanke,eng-30-04976952-n,huidskleur,kleur v.d. huid,"['discriminatie op grond van huidskleur', 'een donkere/blanke huidskleur']","['gelaatskleur', 'huidkleur', 'huidskleur', 'kleur', 'kleurtje', 'teint']","['kleur v.h. gezicht', 'kleur v.d. huid', 'gelaatskleur', 'gelaatskleur', 'tint m.n. v.d. huid']"
89,blanke,odwn-10-104203667-n,vers,regel v.e. gedicht,"['vijfvoetige verzen', 'berijmde/onberijmde/blanke verzen', 'staande/slepende verzen']","['dichtregel', 'vers', 'versregel']","['regel uit een gedicht', 'regel v.e. gedicht', 'regel v.e. gedicht']"
90,blanke,eng-30-08617963-n,top,hoogste punt,"['de blanke top der duinen', 'de top van een berg/boom', 'de toppen van de vingers', 'de top van een driehoek', 'de vlag in top hijsen', 'aan de top (staan van iets)', 'de vreugde bij de kinderen steeg ten top toen de clown binnenkwam', 'ten top (stijgen)', 'de top bereiken']","['bergtop', 'piek', 'apex', 'kruin', 'top']","['top van o.a. bomen', 'hoogste punt']"
91,blanken,odwn-10-103541331-n,blanke,iemand met lichte huidskleur,"['blanken en zwarten worden in Zuid-Afrika niet langer apart gehouden', 'onder de apartheid hadden blanken meer rechten dan zwarten']",['blanke'],['iemand met lichte huidskleur']
93,blanken,eng-30-10157549-n,kleurling,kind van verschillende rassen,"['zwarten, blanken en kleurlingen']","['halfbloed', 'kleurling']","['persoon van gemengde afkomst', 'kind van verschillende rassen']"
94,blanken,odwn-10-100481401-n,rechtsgelijkheid,gelijkheid voor de wet,"['rechtszekerheid en rechtsgelijkheid', 'rechtsgelijkheid van blanken en kleurlingen']",['rechtsgelijkheid'],['gelijkheid voor de wet']
95,bombay,eng-30-08903872-n,Bombay,,[],"['Mumbai', 'Bombay']",[]
96,bosneger,odwn-10-103272943-n,bosneger,in de bossen gevluchte negerslaaf,[],['bosneger'],['in de bossen gevluchte negerslaaf']
97,calcutta,eng-30-08903636-n,Calcutta,,[],"['Kolkata', 'Calcutta']",[]
98,calcutta,odwn-10-107090790-n,tumult,opschudding,"['er ontstond tumult in de drukke straten van Calcutta', 'tumult veroorzaken']",['tumult'],['opschudding']
99,derde wereld,odwn-10-107188952-n,ontwikkelingsproject,project van ontwikkeling in Derde Wereld,[],['ontwikkelingsproject'],['project van ontwikkeling in Derde Wereld']
101,derde wereld,odwn-10-106126041-v,promoten,bevorderen,"['ze organiseerden die markt vooral om producten uit de Derde Wereld te promoten', 'producten promoten', ""met deze 'dag van het orgel' willen de organisatoren het orgel promoten"", 'het orgel promoten']",['promoten'],['bevorderen']
102,derde wereld,odwn-10-104668187-n,kinderarbeid,werk door kinderen,"['in de Derde wereld wordt nog veel kinderarbeid verricht', 'kinderarbeid verrichten']",['kinderarbeid'],['werk door kinderen']
103,derde wereld,eng-30-09178999-n,motivatie,dat wat je ergens toe aanzet,['Wat was je motivatie om vrijwilligerswerk in een Derde Wereld land te willen doen?'],"['reden', 'afweging', 'beweeggrond', 'beweegreden', 'considerans', 'consideratie', 'drijfveer', 'grond', 'motief', 'motivatie', 'overweging', 'ratio']","['voor- en nadelen tegen elkaar opwegen', 'motief', 'overweging', 'beweegreden', 'beweegreden, motief voor iemands daden', 'dat wat je ergens toe aanzet', 'dat wat je ergens toe aanzet', 'reden', 'zedelijke grond']"
104,derde wereld,eng-30-01207609-n,hulp,het helpen,"['bedankt voor je hulp', 'voor veel mensen kwam de hulp echter te laat', 'humanitaire hulp', 'hulp voor [oorlogsslachtoffers]', 'om hulp roepen/vragen', 'hulp aan [de derde wereld]', 'ze hebben de hulp van een psychiater ingeroepen', 'hulp inroepen van iemand', '[dringend] hulp nodig hebben', 'zonder hulp van buiten redden we het niet', 'hulp van buiten', 'eerste hulp bij ongelukken (EHBO)', 'professionele hulp', 'hulp verlenen', 'iemand te hulp schieten/komen', 'hulp zoeken']","['assistent', 'steun', 'assistentie', 'bijstand', 'hulp', 'hulpbetoon', 'hulpverlening', 'medewerking']","['hulp', 'hulp', 'het helpen', 'zorg voor mensen in nood', 'het samenwerken aan iets']"
105,dwerg,eng-30-10040344-n,dwerg,in de groei belemmerd persoon,[],"['dwerg-', 'mini-', 'dwerg', 'lilliputter']","['in de groei belemmerd persoon', 'iemand met zeer korte armen en benen']"
106,dwerg,eng-30-09541125-n,dwerg,klein wezen uit een sprookje,['Sneeuwwitje en de zeven dwergen'],"['gnoom', 'aardmannetje', 'dwerg', 'kabouter']","['dwergachtige aardgeest', 'klein wezen uit een sprookje', 'klein mannetje uit sprookjes']"
107,dwerg,eng-30-10496489-n,dwerg,,[],"['dwerg', 'pygmee']",[]
108,dwergen,eng-30-03929202-n,houweel,scherp en puntig werktuig,['met hun houwelen over de schouder marcheerden de zeven dwergen naar huis'],"['pikhouweel', 'houweel']","['scherp en puntig werktuig', 'houweel met punt en beitel']"
109,dwergen,eng-30-09541125-n,dwerg,klein wezen uit een sprookje,['Sneeuwwitje en de zeven dwergen'],"['gnoom', 'aardmannetje', 'dwerg', 'kabouter']","['dwergachtige aardgeest', 'klein wezen uit een sprookje', 'klein mannetje uit sprookjes']"
110,eskimo,visrecht-n-1,visrecht,recht om te vissen,"['de overheid heeft hen het visrecht verleend', 'het visrecht aan iemand verlenen', ""de Canadese Eskimo's krijgen hier de volgende zes jaren het visrecht"", 'het visrecht hebben/krijgen']",[],[]
111,eskimo,eng-30-06918215-n,Eskimo,inwoner Groenland,[],['Eskimo'],['inwoner Groenland']
112,eskimo,eng-30-02109961-n,,,,['sledehond'],"[""hond gehouden door eskimo's""]"
113,eskimo,eng-30-03560430-n,iglo,hut van ijsblokken,"[""de eskimo's woonden in iglo's"", 'bij een temperatuur boven nul gaat de iglo smelten', 'de iglo smelt']","['eskimohut', 'iglo', 'ijshut', 'sneeuwhut']",['hut van ijsblokken']
114,eskimo,eng-30-10063635-n,Eskimo,,[],['Eskimo'],[]
115,eskimo's,visrecht-n-1,visrecht,recht om te vissen,"['de overheid heeft hen het visrecht verleend', 'het visrecht aan iemand verlenen', ""de Canadese Eskimo's krijgen hier de volgende zes jaren het visrecht"", 'het visrecht hebben/krijgen']",[],[]
116,eskimo's,eng-30-02109961-n,,,,['sledehond'],"[""hond gehouden door eskimo's""]"
117,eskimo's,eng-30-03560430-n,iglo,hut van ijsblokken,"[""de eskimo's woonden in iglo's"", 'bij een temperatuur boven nul gaat de iglo smelten', 'de iglo smelt']","['eskimohut', 'iglo', 'ijshut', 'sneeuwhut']",['hut van ijsblokken']
118,etniciteit,eng-30-04799133-n,etniciteit,,[],['etniciteit'],[]
119,etnische groepen,odwn-10-107289312-n,verzoening,hernieuwde vrede,"['een verzoening tot stand brengen', 'een verzoening tussen de verschillende etnische groepen', 'Na lang overleg hebben de regeringsleiders tot verzoening kunnen komen', 'tot verzoening komen']",['verzoening'],['hernieuwde vrede']
120,gay,eng-30-10182913-n,gay,,[],"['homoseksuele', 'sodemiet', 'sodemieter', 'reetkever', 'poot', 'holtor', 'geïnverteerde', 'gay', 'flikker', 'bruinwerker', 'mietje', 'nicht', 'homo', 'homofiel', 'homoseksueel']","['homoseksueel persoon', 'homoseksueel persoon', 'homofiel persoon']"
121,gehandicapte,eng-30-10158756-n,gehandicapte,iemand met een handicap,"['een instelling voor geestelijk gehandicapten', 'de integratie van gehandicapten', 'voorzieningen voor gehandicapten', 'lichamelijk/geestelijk gehandicapte', '[zwaar/licht] gehandicapten']",['gehandicapte'],['iemand met een handicap']
123,gehandicapte,eng-30-05689249-n,handicap,"belemmering, barrière",['geldgebrek is de grootste handicap voor gehandicapte sporters'],"['barrière', 'belemmering', 'beletsel', 'drempel', 'handicap', 'hindernis', 'hinderpaal', 'hobbel', 'obstakel', 'rem', 'struikelblok', 'struikelsteen', 'verhindering']","['belemmering', 'hindernis', 'bezwaar', 'onwenselijke omstandigheid', 'belemmering, hindernis', 'belemmering, barrière', 'iets dat in de weg staat', 'iets dat je hindert je doel te bereiken', 'probleem', 'hindernis', 'iets dat belemmert', 'belemmering', 'het verhinderen/verhinderd zijn']"
124,gehandicapte,odwn-10-104805949-n,invalide,lichamelijk gehandicapte,['voorzieningen voor invaliden'],['invalide'],['lichamelijk gehandicapte']
126,gehandicapte,eng-30-10352299-n,medemens,elk ander mens,['de gehandicapte/zieke medemens'],"['buuf', 'aanwonenden', 'buur', 'buurman', 'buurvrouw', 'gebuur', 'medemens', 'naaste', 'nabuur', 'nevenman', 'tafeldame', 'tafelheer']","['buurman- of vrouw', 'man naast je', 'vrouw naast je', 'elk ander mens', 'evenmens', 'dame naast wie je zit bij een diner', 'heer naast wie je zit bij een diner']"
127,gehandicapte,eng-30-10197525-n,debiel,verstandelijke gehandicapte,[],"['kretijn', 'mogool', 'mongool', 'cretin', 'debiel', 'geesteszieke', 'gek', 'gestoorde', 'idioot', 'imbeciel', 'krankzinnige', 'waanzinnige']","['verstandelijke gehandicapte', 'vrouwelijke fanaat', 'krankzinnige', 'geestelijk gehandicapte', 'zwakzinnige', 'iemand die gek is']"
131,gehandicapten,eng-30-10158756-n,gehandicapte,iemand met een handicap,"['een instelling voor geestelijk gehandicapten', 'de integratie van gehandicapten', 'voorzieningen voor gehandicapten', 'lichamelijk/geestelijk gehandicapte', '[zwaar/licht] gehandicapten']",['gehandicapte'],['iemand met een handicap']
135,gehandicapten,eng-30-05139094-n,tekort,moreel slechte hoedanigheid,['Oogzorg gehandicapten schiet tekort.'],"['feil', 'fout', 'tekort', 'tekortkoming', 'zwak', 'zwakheid', 'zwakte']","['onvolkomenheid', 'slechte eigenschap', 'ondeugend iemand', 'moreel slechte hoedanigheid', 'gebrek', 'gebied waarop iemand gevoelig is', 'gebied waarop iemand te makkelijk is']"
136,gehandicapten,odwn-10-103405559-n,tehuis,inrichting al dan niet met verzorging,"['een tehuis voor [schipperskinderen/verstandelijk gehandicapten]', 'in een tehuis', 'een gezinsvervangend tehuis']",['tehuis'],['inrichting al dan niet met verzorging']
137,gehandicapten,odwn-10-102949140-n,organisatie,vereniging,"['een organisatie voor [dierenbescherming/gehandicapten]', 'binnen de organisatie is er een open persoonlijke sfeer', 'in/binnen een organisatie']",['organisatie'],['vereniging']
138,gehandicapten,invalidentoilet-n-1,invalidentoilet,toilet voor gehandicapten,['een invalidentoilet is meestal voorzien van extra beugels waaraan je je kunt vasthouden'],[],[]
139,gehandicapten,informatiefolder-n-1,informatiefolder,folder met informatie,"['een informatiefolder over nieuwe koophuizen', 'een informatiefolder voor gehandicapten over aangepast vervoer', 'een informatiefolder verspreiden']",[],[]
140,gehandicapten,eng-30-02437707-v,ontfermen,zorgen voor,"['de zusters ontfermden zich over weeskinderen en gehandicapten in deze stad', 'zich ontfermen over weeskinderen en gehandicapten']","['erbarmen', 'ontfermen']","['ontfermen', 'zorgen voor']"
142,gehandicapten,odwn-10-107268125-n,invalidenwagentje,stoel op wielen voor gehandicapten,[],['invalidenwagentje'],['stoel op wielen voor gehandicapten']
144,gekleurd,eng-30-14881303-n,glas,harde doorzichtige stof,"['gekleurd glas', 'komkommer worden achter glas gekweekt', 'achter glas', 'gerookt glas', 'getint glas', 'glas in lood', 'de meeste huizen hebben inmiddels dubbel glas', 'dubbel glas', 'glas gieten', 'mat glas', 'geblazen glas']",['glas'],['harde doorzichtige stof']
145,gekleurd,odwn-10-101073990-n,glasbak,afvalbak voor glas,"['het glas naar de glasbak brengen', 'een glasbak voor gekleurd/wit glas']",['glasbak'],['afvalbak voor glas']
146,gekleurd,eng-30-03648219-n,wasgoed,was,['gekleurd/wit wasgoed'],"['was', 'wasgoed']","['te wassen goed', 'was']"
147,gekleurd,odwn-10-104127784-n,container,afvalbak,"['een container voor gekleurd glas', 'textiel in de container gooien', 'een container (laten) plaatsen']",['container'],['afvalbak']
148,gekleurd,waterorgel-n-2,waterorgel,"fontein op muziek, met gekleurd licht",[],[],[]
149,gekleurd,eng-30-01592084-n,,,,['mees'],['gekleurd zangvogeltje']
150,gekleurd,odwn-10-100395486-n,paasei,voor Pasen gekleurd kippenei,"['paaseieren schilderen', 'paaseieren zoeken']",['paasei'],['voor Pasen gekleurd kippenei']
