,term,URI,aat_bow,spacy_cs
10,low-income country,300417391,"['creatively', 'inspiration', 'regional', 'tool', 'south', 'interpreted', 'search', 'sought', 'city', 'chennai', 'school', 'principal', 'strategy', 'artist', 'sensibility', 'region', 'played', 'form', 'technique', 'state', 'drew', 'tribal', 'modern', 'within', 'rethink', 'interacted', 'cultural', 'pivotal', 'refers', 'along', 'craft', 'independence', 'context', 'native', 'present', 'role', 'attracting', 'led', 'maintaining', 'art', 'vernacular', 'paniker', 'center', 'became', 'post', 'culture', 'traditional', 'southern', 'india', 'tradition', 'day', 'folk', 'identity', 'teacher', 'artistic', 'movement', 'larger', 'student', 'deploying', 'emerged']",
11,low-income countries,300417391,"['creatively', 'inspiration', 'regional', 'tool', 'south', 'interpreted', 'search', 'sought', 'city', 'chennai', 'school', 'principal', 'strategy', 'artist', 'sensibility', 'region', 'played', 'form', 'technique', 'state', 'drew', 'tribal', 'modern', 'within', 'rethink', 'interacted', 'cultural', 'pivotal', 'refers', 'along', 'craft', 'independence', 'context', 'native', 'present', 'role', 'attracting', 'led', 'maintaining', 'art', 'vernacular', 'paniker', 'center', 'became', 'post', 'culture', 'traditional', 'southern', 'india', 'tradition', 'day', 'folk', 'identity', 'teacher', 'artistic', 'movement', 'larger', 'student', 'deploying', 'emerged']",
12,headhunters,300417391,"['creatively', 'inspiration', 'regional', 'tool', 'south', 'interpreted', 'search', 'sought', 'city', 'chennai', 'school', 'principal', 'strategy', 'artist', 'sensibility', 'region', 'played', 'form', 'technique', 'state', 'drew', 'tribal', 'modern', 'within', 'rethink', 'interacted', 'cultural', 'pivotal', 'refers', 'along', 'craft', 'independence', 'context', 'native', 'present', 'role', 'attracting', 'led', 'maintaining', 'art', 'vernacular', 'paniker', 'center', 'became', 'post', 'culture', 'traditional', 'southern', 'india', 'tradition', 'day', 'folk', 'identity', 'teacher', 'artistic', 'movement', 'larger', 'student', 'deploying', 'emerged']",
13,headhunter,300417391,"['creatively', 'inspiration', 'regional', 'tool', 'south', 'interpreted', 'search', 'sought', 'city', 'chennai', 'school', 'principal', 'strategy', 'artist', 'sensibility', 'region', 'played', 'form', 'technique', 'state', 'drew', 'tribal', 'modern', 'within', 'rethink', 'interacted', 'cultural', 'pivotal', 'refers', 'along', 'craft', 'independence', 'context', 'native', 'present', 'role', 'attracting', 'led', 'maintaining', 'art', 'vernacular', 'paniker', 'center', 'became', 'post', 'culture', 'traditional', 'southern', 'india', 'tradition', 'day', 'folk', 'identity', 'teacher', 'artistic', 'movement', 'larger', 'student', 'deploying', 'emerged']",
14,immigrants,300262962,"['acadia', 'immigrant', 'work', 'use', 'derived', 'indian', 'colony', 'english', 'one', 'style', 'louisiana', 'descendent', 'cagian', 'driven', 'spanish', 'nova', 'produced', 'word', 'refers', 'comprises', 'cajan', 'canadian', 'captured', 'characteristic', 'archaic', 'cajen', 'german', 'defines', 'american', 'british', 'culture', 'land', 'distinctive', 'southern', 'french', 'idiom', 'cajun', 'black', 'bayou', 'scotia', 'patois', 'cajian', 'centered']",0.771
15,immigrants,300443480,"['describe', 'immigrant', 'undocumented', 'appropriate', 'state', 'without', 'entered', 'government', 'document', 'visa', 'includes', 'resident', 'legal', 'people', 'due', 'right', 'person', 'worker', 'process', 'posse', 'illegal', 'inspection', 'alien', 'used', 'country', 'specifically', 'permission', 'associated', 'longer', 'acquired']",0.892
16,immigrants,300108469,"['chinatown', 'lived', 'town', 'chinatowns', 'immigrant', 'often', 'extent', 'city', 'section', 'followed', 'exclusively', 'colony', 'chinese', 'great', 'originally', 'sea']",0.803
17,immigrants,300005505,"['long', 'house', 'grenier', 'single', 'immigrant', 'framing', 'brought', 'cottage', 'roof', 'form', 'louisiana', 'porch', 'span', 'building', 'moved', 'canadian', 'simple', 'vernacular', 'knowledge', 'inward', 'integral', 'originally', 'acadian', 'french', 'normally', 'make', 'massing', 'side', 'gabled', 'steep', 'front', 'creole', 'wall']",0.682
18,immigrants,300027808,"['official', 'immigration', 'name', 'information', 'occupation', 'entry', 'containing', 'date', 'immigrant', 'age', 'country', 'record', 'typically', 'taken', 'point']",0.818
19,immigrants,300018071,"['seventeenth', 'including', 'barn', 'eighteenth', 'strict', 'drawn', 'immigrant', 'rhine', 'floral', 'quaker', 'furniture', 'characterized', 'schwenckfelders', 'dutch', 'religious', 'style', 'horse', 'area', 'descendent', 'century', 'large', 'moravians', 'geometric', 'reformed', 'live', 'tolerance', 'lutheran', 'refers', 'motif', 'stenciled', 'later', 'hex', 'sign', 'craftsmanship', 'mennonite', 'cookery', 'pennsylfawnish', 'deitsch', 'germany', 'included', 'often', 'simple', 'amish', 'dunker', 'german', 'according', 'wear', 'culture', 'william', 'colonial', 'retention', 'painted', 'member', 'distinctive', 'traditional', 'several', 'flow', 'settler', 'recognized', 'drive', 'decorative', 'encouraged', 'group', 'buggy', 'clothing', 'pattern', 'pennsylvania']",0.798
20,immigrants,300179506,"['house', 'immigrant', 'especially', 'individual', 'since', 'state', 'family', 'building', 'variety', 'resident', 'late', 'underprivileged', 'provided', 'facility', 'social', 'settlement', 'welfare', 'england', 'recent', 'recreational', 'neighborhood', 'united', 'educational']",0.86
21,immigrants,300210746,"['flatcaps', 'made', 'immigrant', 'various', 'working', 'men', 'usage', 'thought', 'extended', 'gone', 'visor', 'style', 'elsewhere', 'introduced', 'golf', 'driving', 'century', 'state', 'ireland', 'obvious', 'appear', 'modern', 'cabbie', 'hat', 'many', 'windsor', 'include', 'tweed', 'northern', 'woman', 'variety', 'slight', 'class', 'present', 'reserved', 'wool', 'fashion', 'found', 'version', 'term', 'worn', 'variation', 'united', 'historical', 'social', 'fabric', 'became', 'shape', 'shaped', 'portraiture', 'originally', 'crown', 'usually', 'england', 'day', 'originate', 'appearing', 'cloth', 'round', 'low', 'soft', 'cap', 'though', 'wedge', 'flat', 'europe', 'associated', 'short', 'popular', 'headgear', 'flatcap']",0.762
22,immigrants,300192795,"['emigrant', 'people', 'native', 'country', 'live', 'use', 'come', 'settle', 'depart', 'another', 'region', 'usual']",0.941
23,immigrants,300264473,"['common', 'continuity', 'made', 'loop', 'immigrant', 'cage', 'corn', 'spring', 'burnt', 'back', 'intended', 'ensure', 'object', 'originated', 'figure', 'one', 'ireland', 'many', 'design', 'include', 'time', 'conjoined', 'ribbon', 'present', 'dolly', 'rag', 'human', 'like', 'conical', 'traditionally', 'cut', 'britain', 'sale', 'serve', 'grain', 'taken', 'ploughed', 'plaited', 'last', 'home', 'folk', 'tradition', 'woven', 'north', 'sheaf', 'spirit', 'field', 'stalk', 'winter']",0.782
24,immigrants,300025844,"['people', 'immigrant', 'native', 'country', 'enter', 'live', 'use', 'settle', 'depart', 'another', 'region', 'usual', 'elsewhere']",0.95
25,immigrants,300025844,"['people', 'immigrant', 'native', 'country', 'enter', 'live', 'use', 'settle', 'depart', 'another', 'region', 'usual', 'elsewhere']",0.95
26,immigrant,300443480,"['describe', 'undocumented', 'appropriate', 'state', 'without', 'entered', 'government', 'document', 'visa', 'includes', 'resident', 'legal', 'people', 'due', 'right', 'person', 'worker', 'process', 'posse', 'illegal', 'inspection', 'alien', 'used', 'country', 'specifically', 'permission', 'associated', 'longer', 'acquired']",0.886
27,immigrant,300443480,"['describe', 'undocumented', 'appropriate', 'state', 'without', 'entered', 'government', 'document', 'visa', 'includes', 'resident', 'legal', 'people', 'due', 'right', 'person', 'worker', 'process', 'posse', 'illegal', 'inspection', 'alien', 'used', 'country', 'specifically', 'permission', 'associated', 'longer', 'acquired']",0.886
28,immigrant,300443480,"['describe', 'undocumented', 'appropriate', 'state', 'without', 'entered', 'government', 'document', 'visa', 'includes', 'resident', 'legal', 'people', 'due', 'right', 'person', 'worker', 'process', 'posse', 'illegal', 'inspection', 'alien', 'used', 'country', 'specifically', 'permission', 'associated', 'longer', 'acquired']",0.886
29,immigrant,300025844,"['people', 'native', 'country', 'enter', 'live', 'use', 'settle', 'depart', 'another', 'region', 'usual', 'elsewhere']",0.939
30,immigrant,300025844,"['people', 'native', 'country', 'enter', 'live', 'use', 'settle', 'depart', 'another', 'region', 'usual', 'elsewhere']",0.939
31,barbarian,300018409,"['made', 'south', 'city', 'dynastic', 'ruin', 'influenced', 'institution', 'yungang', 'accustomed', 'pingcheng', 'gandharan', 'craftsman', 'revolted', 'population', 'buddhism', 'buddhist', 'organize', 'official', 'reigned', 'pottery', 'magnificent', 'instigation', 'capital', 'language', 'frontality', 'built', 'tuoba', 'leading', 'use', 'nevertheless', 'chinese', 'also', 'le', 'new', 'refers', 'later', 'rely', 'thousand', 'nomadic', 'cave', 'moved', 'run', 'culture', 'initially', 'private', 'worked', 'distinction', 'north', 'pa', 'western', 'sculpture', 'temple', 'began', 'begun', 'style', 'eastern', 'static', 'demonstrating', 'flourished', 'feel', 'became', 'burial', 'make', 'patronage', 'neglected', 'luoyang', 'touba', 'half', 'divided', 'china', 'state', 'icon', 'feature', 'northern', 'emphasizes', 'people', 'dating', 'adorn', 'art', 'frontiersman', 'linear', 'emperor', 'period', 'wei', 'collapse', 'year', 'xiaowendi', 'emerging', 'longmen', 'old', 'dynasty']",0.795
32,barbarian,300106913,"['including', 'stylized', 'isolated', 'vandal', 'evident', 'work', 'characterized', 'medieval', 'tribe', 'overran', 'migration', 'declining', 'influenced', 'manuscript', 'ostrogoth', 'object', 'gold', 'teutonic', 'style', 'area', 'garnet', 'architecture', 'cross', 'ornamental', 'produced', 'migrant', 'jewelry', 'design', 'refers', 'pattern', 'empire', 'color', 'often', 'art', 'departure', 'line', 'lombard', 'instead', 'enamel', 'culture', 'sculpture', 'period', 'repetitive', 'age', 'dark', 'frank', 'chevron', 'favor', 'ce', 'portable', 'roman', 'illumination', 'classical']",0.811
33,barbarian,300018585,"['including', 'namban', 'work', 'painting', 'ship', 'artist', 'depicting', 'priest', 'religious', 'niccolo', 'style', 'century', 'cross', 'produced', 'european', 'missionary', 'include', 'refers', 'motif', 'japanese', 'giovanni', 'japan', 'connected', 'found', 'jesuit', 'people', 'imported', 'often', 'art', 'folding', 'screen', 'lacquer', 'traditonal', 'traditional', 'southern', 'merchant', 'rosary', 'western', 'flask', 'taught']",0.773
34,barbarian,300018585,"['including', 'namban', 'work', 'painting', 'ship', 'artist', 'depicting', 'priest', 'religious', 'niccolo', 'style', 'century', 'cross', 'produced', 'european', 'missionary', 'include', 'refers', 'motif', 'japanese', 'giovanni', 'japan', 'connected', 'found', 'jesuit', 'people', 'imported', 'often', 'art', 'folding', 'screen', 'lacquer', 'traditonal', 'traditional', 'southern', 'merchant', 'rosary', 'western', 'flask', 'taught']",0.773
35,barbarian,300018585,"['including', 'namban', 'work', 'painting', 'ship', 'artist', 'depicting', 'priest', 'religious', 'niccolo', 'style', 'century', 'cross', 'produced', 'european', 'missionary', 'include', 'refers', 'motif', 'japanese', 'giovanni', 'japan', 'connected', 'found', 'jesuit', 'people', 'imported', 'often', 'art', 'folding', 'screen', 'lacquer', 'traditonal', 'traditional', 'southern', 'merchant', 'rosary', 'western', 'flask', 'taught']",0.773
36,moors,300298733,"['knee', 'early', 'shield', 'heart', 'pair', 'mexico', 'cortés', 'adargas', 'moor', 'leather', 'form', 'entered', 'designed', 'generally', 'came', 'stirrup', 'overlapping', 'light', 'created', 'america', 'shape', 'originally', 'used', 'adarga', 'calvary', 'hard', 'round', 'north', 'specifically', 'ellipsis', 'riding', 'short']",0.795
37,moors,300008902,"['accumulated', 'bog', 'unconsolidated', 'deposit', 'peat', 'plant', 'moor', 'semicarbonized']",0.547
38,moors,300266843,"['found', 'used', 'stone', 'england', 'surface', 'moorstone', 'granite', 'often', 'gathered', 'moorstones', 'building', 'hence', 'type', 'moor']",0.797
39,moors,300386937,"['law', 'allegiance', 'subject', 'owing', 'paying', 'tribute', 'moor', 'return', 'muslim', 'century', 'mudéjar', 'live', 'christian', 'retain', 'religion', 'peninsula', 'custom', 'iberian', 'reconquest', 'culture', 'islamic', 'quarter', 'allowed']",0.863
40,moors,300020944,"['wood', 'lost', 'working', 'azulejo', 'work', 'developed', 'derived', 'furniture', 'medieval', 'characterized', 'architectural', 'moor', 'arabesque', 'style', 'form', 'muslim', 'architecture', 'mudéjar', 'spanish', 'word', 'craftsman', 'stalactite', 'christian', 'horseshoe', 'kufic', 'control', 'refers', 'plaster', 'later', 'motif', 'includes', 'mudéjare', 'peninsula', 'arabic', 'executed', 'term', 'applied', 'iberian', 'art', 'roughly', 'brick', 'bookbinding', 'ceramic', 'vassal', 'gradually', 'textile', 'inlay', 'portugal', 'metal', 'period', 'originally', 'islamic', 'ivory', 'master', 'tradition', 'though', 'decorative', 'tile', 'spain', 'moslem', 'inscription']",0.845
41,moors,300386887,"['shrubby', 'dominated', 'landforms', 'including', 'landform', 'area', 'low', 'heath', 'vegetation', 'sandy', 'moor', 'upland']",0.699
42,moors,300386886,"['uncultivated', 'moor', 'region', 'populated', 'area', 'regularly', 'landforms', 'dry', 'landform', 'within', 'peaty', 'vegetation', 'distinct', 'comprised', 'often', 'drainage', 'wet', 'british', 'shrub', 'land', 'poor', 'low', 'moorland', 'grass', 'flat', 'associated']",0.772
43,moor,300250079,"['bog', 'eurasian', 'bird', 'area', 'large', 'specie', 'northern', 'found', 'display', 'sedentary', 'singluar', 'tetrix', 'eurasia', 'member', 'forest', 'plural', 'grouse', 'open', 'blackgame', 'tetrao', 'adjacent', 'black', 'group', 'noted']",0.822
44,moor,300140253,"['exoticism', 'negress', 'small', 'original', 'xv', 'top', 'taste', 'form', 'denoting', 'central', 'xvi', 'pedestal', 'standard', 'circular', 'type', 'derivation', 'term', 'often', 'increased', 'became', 'period', 'louis', 'french', 'guéridons', 'blackamoors', 'decorative', 'uncertain', 'guéridon', 'table', 'movable']",0.812
45,moor,300011200,"['usually', 'england', 'granite', 'end', 'area', 'camborne', 'gray', 'cornish', 'silver', 'bodmin', 'falmouth', 'quarry', 'four', 'important', 'one', 'cornwall', 'light']",0.75
46,moor,300120786,"['water', 'wharf', 'use', 'discharge', 'shoreline', 'generally', 'unloading', 'marine', 'solid', 'cargo', 'similar', 'warfs', 'vessel', 'structure', 'extend', 'artificial', 'place', 'alongside', 'receive', 'extension', 'bank', 'warf', 'may', 'built', 'parallel', 'loading']",0.733
47,moor,300400593,"['silk', 'tabby', 'appearance', 'wavy', 'running', 'technique', 'copper', 'antique', 'calendering', 'either', 'textile', 'fabric', 'originally', 'usually', 'watered', 'obtained', 'finishing', 'mohair', 'moiré', 'engraved', 'moire']",0.695
48,moor,300375152,"['morocco', 'use', 'product', 'inhabiting', 'republic', 'style', 'proper', 'sahara', 'part', 'within', 'refer', 'arab', 'berber', 'mixed', 'people', 'maure', 'boundary', 'culture', 'algeria', 'descent', 'islamic', 'neighboring', 'maures', 'mauritania', 'western', 'mauri', 'mali', 'living']",0.972
49,moor,300386886,"['uncultivated', 'region', 'populated', 'area', 'regularly', 'landforms', 'dry', 'landform', 'within', 'peaty', 'vegetation', 'distinct', 'comprised', 'often', 'drainage', 'wet', 'british', 'shrub', 'land', 'poor', 'low', 'moorland', 'grass', 'flat', 'associated']",0.767
50,indians,300375026,"['wood', 'tree', 'gulf', 'manchineal', 'machinella', 'mexico', 'latex', 'attractive', 'indian', 'manchineel', 'cause', 'regularly', 'eye', 'hippomane', 'conquistador', 'sap', 'specie', 'spanish', 'sailor', 'part', 'mancinella', 'guava', 'fruit', 'poison', 'native', 'present', 'foot', 'mansanillo', 'irritates', 'like', 'carib', 'bark', 'mostly', 'scented', 'evergreen', 'sized', 'burning', 'shipwrecked', 'manchioneal', 'beach', 'machinelle', 'caribbean', 'poisonous', 'manzanillo', 'polymorphic', 'highly', 'used', 'smoke', 'day', 'apple', 'medium', 'growing', 'meter', 'manchenil', 'leaf', 'poisoned', 'sandy', 'caustic', 'sweet', 'skin', 'mancanilla']",0.697
51,indians,300310567,"['long', 'classified', 'mountain', 'south', 'quadruped', 'alpaca', 'domesticated', 'unlike', 'indian', 'fine', 'formerly', 'llama', 'considerably', 'specie', 'along', 'ago', 'lama', 'thousand', 'peruvian', 'apparently', 'woolly', 'pacos', 'burden', 'smaller', 'andes', 'several', 'vicugna', 'member', 'used', 'beast', 'year', 'genus', 'valued']",0.828
52,indians,300263269,"['including', 'hand', 'made', 'various', 'city', 'indian', 'london', 'nation', 'brazil', 'new', 'toronto', 'vividly', 'colored', 'orleans', 'parade', 'native', 'island', 'african', 'haiti', 'american', 'carnival', 'elaborate', 'descent', 'renowned', 'black', 'masquerade', 'masker', 'brooklyn', 'primarily']",0.845
53,indians,300263269,"['including', 'hand', 'made', 'various', 'city', 'indian', 'london', 'nation', 'brazil', 'new', 'toronto', 'vividly', 'colored', 'orleans', 'parade', 'native', 'island', 'african', 'haiti', 'american', 'carnival', 'elaborate', 'descent', 'renowned', 'black', 'masquerade', 'masker', 'brooklyn', 'primarily']",0.845
54,indians,300263269,"['including', 'hand', 'made', 'various', 'city', 'indian', 'london', 'nation', 'brazil', 'new', 'toronto', 'vividly', 'colored', 'orleans', 'parade', 'native', 'island', 'african', 'haiti', 'american', 'carnival', 'elaborate', 'descent', 'renowned', 'black', 'masquerade', 'masker', 'brooklyn', 'primarily']",0.845
55,indians,300263942,"['headdress', 'working', 'indian', 'sewn', 'dance', 'style', 'mardi', 'costume', 'large', 'boot', 'new', 'glass', 'rhinestone', 'association', 'feather', 'ribbon', 'parade', 'unofficial', 'class', 'ostrich', 'velvet', 'comprised', 'material', 'african', 'american', 'gras', 'bead', 'apron', 'sequin', 'usually', 'day', 'sing', 'masker', 'male', 'moccasin', 'pattern']",0.715
56,indians,300250556,"['loop', 'shoulder', 'hold', 'ammunition', 'bandeliers', 'bandileers', 'use', 'indian', 'bag', 'suspended', 'wallet', 'also', 'across', 'within', 'decorated', 'bandoleer', 'strap', 'worn', 'might', 'american', 'bandolier', 'case', 'breast', 'belt', 'north', 'attached', 'pocket']",0.713
57,indians,300017634,"['engaged', 'nebraska', 'indian', 'tribe', 'permanent', 'river', 'pressure', 'arkansas', 'style', 'oral', 'eastern', 'century', 'state', 'along', 'northern', 'farming', 'arapaho', 'abandoning', 'split', 'woodland', 'stock', 'moved', 'westward', 'settled', 'life', 'village', 'east', 'gradually', 'american', 'wyoming', 'culture', 'colorado', 'linguistic', 'suggest', 'algonquian', 'southern', 'lived', 'tradition', 'north', 'platte', 'arapahoe', 'group']",0.865
58,indians,300017634,"['engaged', 'nebraska', 'indian', 'tribe', 'permanent', 'river', 'pressure', 'arkansas', 'style', 'oral', 'eastern', 'century', 'state', 'along', 'northern', 'farming', 'arapaho', 'abandoning', 'split', 'woodland', 'stock', 'moved', 'westward', 'settled', 'life', 'village', 'east', 'gradually', 'american', 'wyoming', 'culture', 'colorado', 'linguistic', 'suggest', 'algonquian', 'southern', 'lived', 'tradition', 'north', 'platte', 'arapahoe', 'group']",0.865
59,indians,300254307,"['advertising', 'wooden', 'store', 'popular', 'cigar', 'indian', 'american', 'representing', 'figure', 'sign']",0.762
60,indians,300254307,"['advertising', 'wooden', 'store', 'popular', 'cigar', 'indian', 'american', 'representing', 'figure', 'sign']",0.762
61,indians,300254307,"['advertising', 'wooden', 'store', 'popular', 'cigar', 'indian', 'american', 'representing', 'figure', 'sign']",0.762
62,indians,300254307,"['advertising', 'wooden', 'store', 'popular', 'cigar', 'indian', 'american', 'representing', 'figure', 'sign']",0.762
63,indians,300254307,"['advertising', 'wooden', 'store', 'popular', 'cigar', 'indian', 'american', 'representing', 'figure', 'sign']",0.762
64,indians,300255632,"['outer', 'bark', 'canoe', 'north', 'birch', 'american', 'whose', 'built', 'birchbark', 'originally', 'skin']",0.615
65,indians,300250566,"['made', 'buckskin', 'shoulder', 'ammunition', 'carried', 'small', 'purpose', 'use', 'indian', 'bag', 'wallet', 'suspended', 'across', 'containing', 'decorated', 'friendship', 'general', 'bandoleer', 'strap', 'wool', 'sometimes', 'bandelier', 'worn', 'often', 'american', 'quillwork', 'bandolier', 'breast', 'heavily', 'muslin', 'usually', 'belt', 'north', 'attached', 'beadwork', 'pocket', 'bandileer']",0.763
66,indians,300018086,"['various', 'painter', 'gothic', 'began', 'work', 'painting', 'characterized', 'use', 'influenced', 'indian', 'leader', 'composition', 'incan', 'style', 'dramatic', 'ethnic', 'circle', 'spanish', 'origin', 'european', 'refers', 'later', 'abandoning', 'peruvian', 'indigenous', 'late', 'netherlandish', 'often', 'local', 'active', 'cuzco', 'gilded', 'perspective', 'independent', 'favoring', 'nature', 'tradition', 'filled', 'patronage', 'flat', 'creole', 'emerged', 'chiaroscuro', 'taught']",0.892
67,indians,300017724,"['relocated', 'apache', 'extended', 'indian', 'southwest', 'style', 'descendent', 'family', 'homeland', 'many', 'new', 'time', 'athabascan', 'reservation', 'migrated', 'arizona', 'culture', 'traditional', 'band']",0.876
68,indians,300017763,"['pueblo', 'tusayan', 'thought', 'indian', 'hopi', 'style', 'shoshonean', 'precise', 'modern', 'origin', 'moqui', 'edge', 'speak', 'ancestral', 'arizona', 'moki', 'people', 'situated', 'language', 'culture', 'descended', 'unknown', 'painted', 'northeastern', 'westernmost', 'uto', 'group', 'aztecan', 'although']",0.899
69,indians,300017826,"['mural', 'maya', 'mexico', 'nearly', 'indian', 'become', 'style', 'form', 'architecture', 'spanish', 'modern', 'occupying', 'combine', 'pattern', 'refers', 'northern', 'mayan', 'people', 'settled', 'advanced', 'art', 'village', 'ceramic', 'guatemala', 'culture', 'mesoamerican', 'traditional', 'southern', 'ancient', 'used', 'successful', 'technology', 'territory', 'continuous', 'irrigation', 'produce', 'sculpture', 'group', 'included']",0.911
70,indians,300017934,"['recognize', 'maize', 'south', 'scattered', 'corn', 'columbian', 'chile', 'indian', 'inhabiting', 'river', 'level', 'style', 'valley', 'pre', 'arrival', 'spanish', 'araucanian', 'middle', 'central', 'cultural', 'population', 'distinguished', 'time', 'dwelling', 'three', 'political', 'grew', 'picunche', 'bean', 'araucanians', 'settled', 'village', 'chiloé', 'unity', 'american', 'farmer', 'potato', 'culture', 'huilliche', 'biobío', 'choapa', 'araucanos', 'fertile', 'basin', 'north', 'squash', 'toltén', 'mapuche', 'living', 'although', 'concentrated']",0.872
71,indians,300417687,"['including', 'columbian', 'chile', 'indian', 'region', 'hunting', 'pre', 'subdivision', 'people', 'del', 'indigenous', 'virtually', 'ona', 'argentina', 'culture', 'shelknam', 'patagonian', 'shelnam', 'society', 'southern', 'tierra', 'fuego', 'selknam']",0.856
72,indians,300017530,"['baja', 'historically', 'mission', 'yuman', 'california', 'one', 'area', 'large', 'state', 'refers', 'yahano', 'border', 'native', 'speaking', 'san', 'named', 'mexican', 'extending', 'diegueño', 'major', 'american', 'culture', 'diegueno', 'called', 'inhabit', 'side', 'united', 'group']",0.928
73,indians,300017596,"['common', 'describe', 'note', 'based', 'work', 'erroneously', 'aboriginal', 'bella', 'general', 'refer', 'speaking', 'scholarship', 'people', 'material', 'dating', 'term', 'often', 'us', 'heiltsuk', 'village', 'sub', 'language', 'british', 'culture', 'used', 'inhabit', 'bellabella', 'specifically', 'recent', 'self', 'group']",0.927
74,indians,300017642,"['kainah', 'akainawa', 'native', 'belonging', 'north', 'artwork', 'kainai', 'refers', 'indian', 'american', 'tribe', 'blood', 'style']",0.849
75,indians,300016804,"['confederacy', 'composed', 'north', 'caddoan', 'refers', 'indian', 'tribe', 'caddo', 'american', 'culture', 'linguistic', 'style']",0.879
76,indians,300016903,"['indian', 'pacific', 'georgia', 'salish', 'olympic', 'coast', 'refers', 'speaking', 'peninsula', 'sound', 'island', 'much', 'puget', 'america', 'washington', 'culture', 'southern', 'strait', 'vancouver', 'north', 'northwest', 'around', 'western', 'living']",0.809
